key,totalTime
a,0.934934139251709
b,0.6358852386474609
f,0.1842949390411377
e,0.20732617378234863
d,0.23615789413452148
s,0.19370222091674805
Buttonleft,0.46990966796875
Keyctrl,0.5853438377380371
